"prov_cdc","log_mort_cum","log_mort1","day_first_peak","log_mort2","day_second_peak","n_peak","dist_peaks","rt","day_rt","HDI","HDI_low","education_years","perc_essalud","mob","mig_in_perc","mig_out_perc","dens_pop","perc_fem","perc_65_plus","med_ratio","enf_ratio","altitud","ide","ocup_perc","bed_ratio","med2_ratio","log_essalud","log_pop_dens","log_med_ratio","deaths","pop","mort_first_peak","mort_second_peak","log_mig_in","mort_cum"
"SANTA",-4.73865099443798,-8.32196467752249,107,-8.25157226788846,445,2,338,2.38276799284843,58,0.615220775075721,"High HDI",9.57981271560028,0.307544394651761,-55.3333333333333,0.00165936525876998,0.00486844041468979,0.000111655804875801,0.492359013457527,0.0676744347235047,0.000703389996158109,0.00110693746190266,52,0.75320035478408,0.404876174695286,0.00120387903188599,0.00154655620950148,-1.17913582930507,-9.10008958930728,-7.25959906014934,3881.40023770799,443566.160599572,0.00024311774673374,0.00026084811161128,-6.40132012397231,0.00875044262272277
"SIHUAS",-5.53267914852981,-9.76842452631556,170,-8.95742079164648,438,2,268,1.20139167357346,173,0.314323545628663,"Low HDI",5.57583267547247,0.093581995476623,NA,0.0456844631866011,0,1.84714177169413e-05,0.485332390836359,0.0786877871670469,0.00081805094624464,0.00178483842817012,2767,0.697734999823544,0.224944455873527,0.00159891775856907,0.000855235080164851,-2.36891727002037,-10.8992860088785,-7.10858594182827,106.372729956536,26893.1905781585,5.72304461226205e-05,0.00012877797098506,-3.08599701292124,0.00395537783616227
"YUNGAY",-5.78651130538849,-9.74836779653881,176,-9.19309166614856,441,2,265,1.2313582447055,173,0.335807832904921,"Low HDI",5.01326400655057,0.0820007474282567,-44,0.0245888426680089,0,3.95378541834809e-05,0.48979353200588,0.0732493652278498,0.000315490358012211,0.000853679792268337,2517,0.695502301742128,0.329186567336011,0.000519631177902466,0.000538189434256125,-2.50102691678068,-10.1382520112068,-8.06138243742556,165.35331309583,53884.3725910064,5.8389890176105e-05,0.00010173983237546,-3.7054624890097,0.00306866917335933
"ABANCAY",-5.16646935335845,-9.21120463932773,189,-8.42767117104932,451,2,262,1.43003133647413,173,0.521312966360625,"High HDI",8.74224582905599,0.216992399565689,-35.2,0.0105566085247148,0.0209453406427225,2.96713359392198e-05,0.492011952006957,0.0532289845419477,0.00167717143421502,0.00336409386514059,2500,0.789197575029927,0.410204286112289,0.00256451213487529,0.00168692243092557,-1.52789295109798,-10.4253290980753,-6.39064657464253,585.035013804219,102553.618843683,9.99136106019909e-05,0.00021873028313053,-4.55100321472003,0.00570467449516293
"ANDAHUAYLAS",-5.76998568870872,-10.2721033005423,179,-8.72833821072389,437,2,258,1.25415562886712,173,0.421882784759833,"High HDI",6.23671342249716,0.11506418579841,-17.6666666666667,0.0120926477908266,0.00416998938562782,3.93201664057458e-05,0.485823875762307,0.0563887573307139,0.00104609734656265,0.00265305411387274,2836,0.753816169326858,0.341639269557926,0.000749913158078044,0.000485237925815205,-2.16226516894214,-10.1437730306051,-6.86268885212227,495.065933045383,158685.040685225,3.45845571546874e-05,0.00016193132850427,-4.41515763164849,0.003119802162243
"ANTABAMBA",-4.90674499029964,-8.90036706602463,95,-8.54117054054522,461,3,366,NA,NA,0.323102353598462,"Low HDI",6.31287233727819,0.133598585322723,NA,0.0557789202307527,0,3.77774792301298e-06,0.51063985911359,0.0942177869093044,0.00131181732873471,0.00311556615574494,3664,0.676755598618505,0.398278853779867,0,8.19885830459195e-05,-2.01291560683743,-12.4863825134474,-6.63634182930112,90.2140844018754,12196.8201284797,0.00013633887192819,0.00019526156474601,-2.88635925461174,0.00739652495089475
"AYMARAES",-5.44817150553644,-9.37334796647065,209,-8.45803625391049,466,2,257,1.29100648987825,173,0.355128189993284,"Low HDI",6.09167696126474,0.115851400831036,NA,0.0494945952728305,0,7.00747935975192e-06,0.507669396872673,0.0997766195085629,0.000933329247380884,0.00266171674253067,2929,0.730736868568955,0.413267931636827,0,6.91354998059914e-05,-2.15544693641133,-11.8685324993628,-6.97675252828487,124.513966302881,28928.6980728051,8.49584736223511e-05,0.00021218834584488,-3.00589180177623,0.00430416764658802
"CHINCHEROS",-5.68194899352251,-10.6462892590591,98,-8.69532314815707,441,2,343,1.2270711422224,187,0.344303514850603,"Low HDI",5.58027763282111,0.0833425420469865,NA,0.0326275728868939,0,3.47861496872614e-05,0.497312953072944,0.0712862667626526,0.00106730858379327,0.00221085349500035,2799,0.734699258948758,0.290375729684188,0,7.62363274138051e-05,-2.48479615132934,-10.2662912478984,-6.84261514154576,178.7553013003,52468.4246433895,2.37889526585579e-05,0.00016736673284926,-3.42259755401523,0.00340691191922076
"COTABAMBAS",-6.07636953572729,-10.2669125377319,199,-9.29213375586624,469,2,270,1.33514799814552,173,0.372053682028399,"Low HDI",5.66581194109178,0.120045009475679,-46.5,0.0309445020578402,0,1.9565717242443e-05,0.515868285778142,0.0587610817253967,0.000877999293004804,0.00206817611241132,3267,0.655361238290182,0.287746151542357,0.000546310671202989,0.000195110954001068,-2.11988852756063,-10.8417316435083,-7.03786476956319,117.702202109917,51252.8886509636,3.47645441184668e-05,9.21462327990663e-05,-3.47555993511949,0.00229649889416924
"GRAU",-5.36373568260134,-9.7205430446986,154,-8.7174913007442,462,3,308,1.20967170355598,338,0.304488319025415,"Low HDI",6.01827022178805,0.101638263816966,NA,0.0661073197363045,0,1.09002300004842e-05,0.500331077104179,0.0841303708063567,0.000991476129896021,0.0025433518114724,3360,0.713466086301918,0.240165824922259,0,4.31076578215661e-05,-2.28633520236668,-11.4267266679899,-6.91631568503349,108.643754071271,23197.7344753747,6.00373887070725e-05,0.00016369734363595,-2.7164758009437,0.00468337777495473
