"prov_cdc","day","date","infection_day","rt","I_peak","mob"
"SANTA CRUZ",540,2021-08-17,533,1.24541112513896,26.5735341740711,NA
"SANTIAGO DE CHUCO",110,2020-06-13,103,1.45951624132706,21.5469208049178,NA
"SATIPO",173,2020-08-15,166,1.33191983744788,153.825738871036,-31.75
"SECHURA",76,2020-05-10,69,1.57806408263884,35.5252611282494,-61.5
"SIHUAS",173,2020-08-15,166,1.21591598094207,26.8616398040533,NA
"SUCRE",540,2021-08-17,533,1.33056796435646,21.6840365549381,NA
"SULLANA",60,2020-04-24,53,2.49716543864554,85.0774106038545,-47.5
"TACNA",338,2021-01-27,331,1.53966996547711,325.504615723064,-33
"TAHUAMANU",173,2020-08-15,166,1.20849527743445,52.4270366117591,NA
"TALARA",75,2020-05-09,68,1.66140336752856,97.3062917385616,-50.3333333333333
"TAMBOPATA",108,2020-06-11,101,1.71190175740974,169.6553119041,-35.1666666666667
"TARATA",174,2020-08-16,167,1.3246501717796,17.8411794334511,NA
"TARMA",338,2021-01-27,331,1.453407183282,83.6822908367134,-25.75
"TAYACAJA",338,2021-01-27,331,1.37270831109076,41.7960930103341,-16
"TOCACHE",109,2020-06-12,102,1.42841447402659,28.0546473170316,-35.3333333333333
"TRUJILLO",77,2020-05-11,70,1.65605412969403,170.713317545847,-52.3333333333333
"TUMBES",63,2020-04-27,56,1.79409613747464,38.4432923261836,-48.5
"UCAYALI",75,2020-05-09,68,1.53433529570152,55.1636310454877,NA
"URUBAMBA",173,2020-08-15,166,1.59771736663073,65.4087791511483,-60.3333333333333
"UTCUBAMBA",77,2020-05-11,70,1.49085129569672,23.9386490237366,-55
"VICTOR FAJARDO",540,2021-08-17,533,1.23499968027063,29.2815915046759,NA
"VILCAS HUAMAN",339,2021-01-28,332,1.31074517425465,18.3943664205754,NA
"VIRU",108,2020-06-11,101,1.61294166225535,107.705844159311,-43
"YAROWILCA",109,2020-06-12,102,1.34638139677149,22.5730253092055,NA
"YAULI",83,2020-05-17,76,1.38772905532514,19.7649971981274,-63.5
"YAUYOS",540,2021-08-17,533,1.24880777078136,21.1918958605606,NA
"YUNGAY",173,2020-08-15,166,1.23661507146955,55.4554345765251,-44
"YUNGUYO",173,2020-08-15,166,1.33445803368259,70.5635869706422,-40
"ZARUMILLA",76,2020-05-10,69,1.51414695374404,49.3661623159594,-66.5
