"prov_cdc","dpt_cdc","perc_essalud","deaths","deaths_first_wave","deaths_second_wave","date_first_peak","day_first_peak","mort_first_peak","date_second_peak","day_second_peak","mort_second_peak","n_peak","dist_peaks","pop","HDI","life_exp","perc_secondary","education_years","household_per_capita_income"
"BOLOGNESI","ANCASH",0.142328864982981,123.199177303989,50.2388311529832,72.9603461510056,2020-08-08,159,7.38402074777355e-05,2021-04-27,421,0.00014959514535546,2,262,28968.2847965739,0.453107932719228,70.9522722419373,52.6742509816948,7.55960851549146,682.760833119294
"CARHUAZ","ANCASH",0.0808472025495751,171.315832473761,63.4172508430672,107.898581630694,2020-09-04,186,5.39938395616638e-05,2021-05-03,427,0.00014416585196358,3,241,46004.47751606,0.408914652227987,79.6588247625464,64.0563682999544,5.38179363206706,495.276325953118
"CARLOS FERMIN FITZCARRALD","ANCASH",0.0896314274425693,79.4361678724016,41.1122489767614,38.3239188956401,2020-08-11,162,8.06346334637833e-05,2021-06-04,459,8.51668632757035e-05,2,297,19420.591006424,0.305968553232619,75.0394894135081,38.3491083545815,4.83874754204668,330.53227007836
"CASMA","ANCASH",0.184255427641256,357.134818310233,146.879928736876,210.254889573357,2020-07-02,122,0.00015768640386057,2021-04-24,418,0.00031920359424317,2,296,50566.9464668094,0.557300920754884,78.6193546346084,61.5543017891314,7.87278539107506,965.543915755628
"CORONGO","ANCASH",0.105682421667552,53.2424556702213,22.1481151324427,31.0943405377786,2020-07-12,132,0.0001512859153142,2021-04-18,412,0.00022112364833209,2,280,7400.73233404711,0.388256123584986,73.0665077234665,46.8407161890619,6.25685271753119,504.676482063334
"HUARAZ","ANCASH",0.213083154401718,1023.14133824392,487.996105673858,535.145232570062,2020-08-15,166,0.00021107900729131,2021-04-28,422,0.00017598028212053,2,256,169779.995717345,0.562543270468146,74.7823352799658,70.5500288252516,9.2781112959143,902.681468184336
"HUARI","ANCASH",0.155601730422046,186.708952817926,79.2276260690069,107.481326748919,2020-08-21,172,4.71704973090656e-05,2021-05-13,437,9.33819727050569e-05,2,265,59144.2548179872,0.424135442845821,75.3144979493384,50.1071824108618,6.79737237420717,569.087056234132
"HUARMEY","ANCASH",0.221629581151832,273.262448983662,109.238961410386,164.023487573277,2020-08-23,174,0.00015579591331284,2021-05-01,425,0.00035908937832506,3,251,31562.8950749465,0.574461230554633,79.2741861088212,64.3929950209321,8.72819654614267,956.662222373426
"HUAYLAS","ANCASH",0.103596057194062,253.248092346647,101.828288096933,151.419804249714,2020-09-07,189,8.98775654199139e-05,2021-04-24,418,0.00019277775314765,2,229,51398.1905781585,0.405559625805934,79.6210035178132,44.3736897570623,5.60776406313878,558.623375027103
"MARISCAL LUZURIAGA","ANCASH",0.0843028988365214,98.7195969736349,41.468255449763,57.2513415238719,2020-08-22,173,6.12032550364048e-05,2021-04-16,410,0.00011254598313135,2,237,20564.7494646681,0.276132981732583,72.8021659240238,40.8527276377868,5.07427539486264,247.251851401683
