"dpt_cdc","prov_cdc","n","pob","y1","ylog","x1","sd","id","y__cascade","y_se__cascade","y_ranef__cascade"
"LORETO","MAYNAS",1,553528,1.80659334306485e-06,-13.1701924984147,0,724.22074998571,"1",-13.1701924984147,724.22074998571,"1"
"SAN MARTIN","HUALLAGA",1,30047,3.32811927979499e-05,-10.307517906458,0,173.080871957137,"2",-10.307517906458,173.080871957137,"2"
"LIMA","LIMA",1,9612705,1.04028990799156e-07,-15.4050037414385,1,2213.87991025285,"3",-15.4050037414385,2213.87991025285,"3"
"AYACUCHO","HUAMANGA",1,305662,3.2715875705845e-06,-12.6001268353335,2,544.606446700941,"4",-12.6001268353335,544.606446700941,"4"
"CALLAO","CALLAO",2,1129854,1.77014021280626e-06,-13.1894971497983,2,731.245010225235,"5",-13.1894971497983,731.245010225235,"5"
"CUSCO","PARURO",1,27951,3.57768952810275e-05,-10.2354170551468,2,166.952364226363,"6",-10.2354170551468,166.952364226363,"6"
"ICA","PALPA",1,15383,6.50068257167002e-05,-9.6394811645272,2,123.932936207495,"7",-9.6394811645272,123.932936207495,"7"
"JUNIN","CHANCHAMAYO",1,172048,5.81233144238817e-06,-12.0384703132396,2,411.263922915339,"8",-12.0384703132396,411.263922915339,"8"
"LAMBAYEQUE","CHICLAYO",3,871464,3.44248299413401e-06,-12.5506826659198,2,531.307703641806,"9",-12.5506826659198,531.307703641806,"9"
"LIMA","LIMA",16,9612705,1.66446385278649e-06,-13.2476636798519,2,752.82427943725,"10",-13.2476636798519,752.82427943725,"10"
"LORETO","MAYNAS",4,553528,7.2263733722594e-06,-11.824029929542,2,369.449834315133,"11",-11.824029929542,369.449834315133,"11"
"PIURA","PIURA",1,881242,1.13476207443585e-06,-13.6046322587228,2,899.929232215806,"12",-13.6046322587228,899.929232215806,"12"
"PIURA","SULLANA",1,344989,2.89864314514376e-06,-12.7173506565599,2,577.480876914645,"13",-12.7173506565599,577.480876914645,"13"
"UCAYALI","CORONEL PORTILLO",2,449826,4.44616362771383e-06,-12.3012268394039,2,469.004995465512,"14",-12.3012268394039,469.004995465512,"14"
"ANCASH","SANTA",3,468829,6.39892156841834e-06,-11.9438743073787,3,392.264812454069,"15",-11.9438743073787,392.264812454069,"15"
"LA LIBERTAD","TRUJILLO",2,1101428,1.8158245477689e-06,-13.1653624547543,3,722.473851312865,"16",-13.1653624547543,722.473851312865,"16"
"LAMBAYEQUE","CHICLAYO",2,871464,2.29498866275601e-06,-12.9421320608262,3,646.172199150101,"17",-12.9421320608262,646.172199150101,"17"
"LAMBAYEQUE","FERREÑAFE",1,107975,9.26140310257004e-06,-11.5789153745885,3,326.835729136989,"18",-11.5789153745885,326.835729136989,"18"
"LIMA","BARRANCA",1,163008,6.13466823714174e-06,-11.9853851900087,3,400.491520902383,"19",-11.9853851900087,400.491520902383,"19"
"LIMA","LIMA",39,9612705,4.05713064116708e-06,-12.3906854713973,3,490.459514178978,"20",-12.3906854713973,490.459514178978,"20"
"LORETO","ALTO AMAZONAS",1,143702,6.95884538837316e-06,-11.861229062557,3,376.385743580723,"21",-11.861229062557,376.385743580723,"21"
"LORETO","MAYNAS",6,553528,1.08395600583891e-05,-11.4231249758203,3,302.343106858649,"22",-11.4231249758203,302.343106858649,"22"
"LORETO","REQUENA",1,66103,1.51279064490265e-05,-11.0923808628155,3,256.25945604422,"23",-11.0923808628155,256.25945604422,"23"
"MADRE DE DIOS","TAMBOPATA",1,137290,7.28385170077937e-06,-11.8162151448252,3,368.009065513329,"24",-11.8162151448252,368.009065513329,"24"
"PIURA","PIURA",1,881242,1.13476207443585e-06,-13.6046322587228,3,899.929232215806,"25",-13.6046322587228,899.929232215806,"25"
"PIURA","SULLANA",1,344989,2.89864314514376e-06,-12.7173506565599,3,577.480876914645,"26",-12.7173506565599,577.480876914645,"26"
"PUNO","CHUCUITO",1,94298,1.06046787842796e-05,-11.444829642512,3,305.642103567404,"27",-11.444829642512,305.642103567404,"27"
"UCAYALI","CORONEL PORTILLO",4,449826,8.89232725542765e-06,-11.6191388714107,3,333.475512110699,"28",-11.6191388714107,333.475512110699,"28"
"AMAZONAS","UTCUBAMBA",1,120694,8.2854160107379e-06,-11.6890165502361,4,345.332691347777,"29",-11.6890165502361,345.332691347777,"29"
"ANCASH","SANTA",1,468829,2.13297385613945e-06,-13.0121762931285,4,669.203464759556,"30",-13.0121762931285,669.203464759556,"30"
"AREQUIPA","AREQUIPA",11,1165606,9.43715114712862e-06,-11.5603157389948,4,323.810306152606,"31",-11.5603157389948,323.810306152606,"31"
"AREQUIPA","CAMANA",1,63248,1.58107766253478e-05,-11.0485139031448,4,250.69998656453,"32",-11.0485139031448,250.69998656453,"32"
"AREQUIPA","CARAVELI",1,44179,2.26351886642975e-05,-10.6915966723141,4,209.725249032791,"33",-10.6915966723141,209.725249032791,"33"
"AREQUIPA","CAYLLOMA",1,96625,1.03492884864166e-05,-11.4689766692958,4,309.354644204598,"34",-11.4689766692958,309.354644204598,"34"
"AREQUIPA","ISLAY",1,58026,1.72336538792955e-05,-10.9628606351857,4,240.190009796616,"35",-10.9628606351857,240.190009796616,"35"
"CALLAO","CALLAO",17,1129854,1.50461918088532e-05,-11.0977614233588,4,256.949793988153,"36",-11.0977614233588,256.949793988153,"36"
"HUANUCO","HUANUCO",1,307532,3.25169413264311e-06,-12.6060446287194,4,546.220267301842,"37",-12.6060446287194,546.220267301842,"37"
"HUANUCO","PUERTO INCA",1,36378,2.74891417889933e-05,-10.4980882760908,4,190.384200442589,"38",-10.4980882760908,190.384200442589,"38"
"ICA","CHINCHA",1,262935,3.80322132846521e-06,-12.4537083641061,4,506.160686968105,"39",-12.4537083641061,506.160686968105,"39"
"ICA","ICA",7,444688,1.57413737271975e-05,-11.0528854501365,4,251.248559259996,"40",-11.0528854501365,251.248559259996,"40"
"ICA","PISCO",2,173731,1.15120502385872e-05,-11.3634671853742,4,293.45772537329,"41",-11.3634671853742,293.45772537329,"41"
"JUNIN","HUANCAYO",3,580160,5.17098731384446e-06,-12.1532928668775,4,435.566042984335,"42",-12.1532928668775,435.566042984335,"42"
