"dpt_cdc","prov_cdc","n","pob","y1","ylog","x1","sd","y_low","y_upp","id","y__cascade","y_se__cascade","y_ranef__cascade"
"ANCASH","HUARAZ",7,181637,3.85384035191068e-05,-10.1625065502758,48,0.377702377393102,-10.9028032099663,-9.42220989058531,"652",-10.1625065502758,0.377702377393102,"652"
"ANCASH","HUARAZ",17,181637,9.35932656892593e-05,-9.27599652879955,49,0.242456905208441,-9.75121206300809,-8.800780994591,"653",-9.27599652879955,0.242456905208441,"653"
"ANCASH","HUARAZ",23,181637,0.000126626182991351,-8.97386056526505,50,0.208458396479263,-9.38243902236441,-8.5652821081657,"654",-8.97386056526505,0.208458396479263,"654"
"ANCASH","HUARAZ",16,181637,8.80877794722441e-05,-9.3365864361111,51,0.249915207605595,-9.82642024301807,-8.84675262920413,"655",-9.3365864361111,0.249915207605595,"655"
"ANCASH","HUARAZ",12,181637,6.60658346041831e-05,-9.62407181579492,52,0.288552023106256,-10.1896337810832,-9.05850985050666,"656",-9.62407181579492,0.288552023106256,"656"
"ANCASH","HUARAZ",24,181637,0.000132131669208366,-8.93131805946656,53,0.204070490956122,-9.33129622174055,-8.53133989719256,"657",-8.93131805946656,0.204070490956122,"657"
"ANCASH","HUARAZ",16,181637,8.80877794722441e-05,-9.3365864361111,54,0.249915207605595,-9.82642024301807,-8.84675262920413,"658",-9.3365864361111,0.249915207605595,"658"
"ANCASH","HUARAZ",19,181637,0.00010460423812329,-9.16482936294798,55,0.229346714379149,-9.61434892313111,-8.71530980276485,"659",-9.16482936294798,0.229346714379149,"659"
"ANCASH","HUARAZ",27,181637,0.000148648127859412,-8.8135787471697,56,0.192402121085262,-9.19068690449681,-8.43647058984258,"660",-8.8135787471697,0.192402121085262,"660"
"ANCASH","HUARAZ",23,181637,0.000126626182991351,-8.97386056526505,57,0.208458396479263,-9.38243902236441,-8.5652821081657,"661",-8.97386056526505,0.208458396479263,"661"
"ANCASH","HUARAZ",24,181637,0.000132131669208366,-8.93131805946656,58,0.204070490956122,-9.33129622174055,-8.53133989719256,"662",-8.93131805946656,0.204070490956122,"662"
