dpt_cdc,prov_cdc,n,pob,y1,ylog,x1,sd,y_low,y_upp,id
SAN MARTIN,RIOJA,5,131248,3.809581860295014e-5,-10.174041601365973,52,0.44690007969303824,-11.049965757564328,-9.298117445167618,1
SAN MARTIN,RIOJA,4,131248,3.0476654882360113e-5,-10.396844336256404,53,0.49956624475209116,-11.375994175970503,-9.417694496542305,1
SAN MARTIN,RIOJA,6,131248,4.571498232354017e-5,-9.991947320069334,54,0.40800689912180327,-10.791640842348068,-9.1922537977906,1
SAN MARTIN,RIOJA,7,131248,5.3334146044130194e-5,-9.837959011513826,55,0.37777021721938786,-10.578388637263826,-9.097529385763826,1
SAN MARTIN,RIOJA,6,131248,4.571498232354017e-5,-9.991947320069334,56,0.40800689912180327,-10.791640842348068,-9.1922537977906,1
SAN MARTIN,RIOJA,6,131248,4.571498232354017e-5,-9.991947320069334,57,0.40800689912180327,-10.791640842348068,-9.1922537977906,1
SAN MARTIN,RIOJA,5,131248,3.809581860295014e-5,-10.174041601365973,58,0.44690007969303824,-11.049965757564328,-9.298117445167618,1
SAN MARTIN,RIOJA,15,131248,1.1428745580885042e-4,-9.07633872477649,59,0.25812539584274485,-9.58226450062827,-8.570412948924709,1
SAN MARTIN,RIOJA,13,131248,9.904912836767037e-5,-9.219369584272327,60,0.2772635636068516,-9.762806168941756,-8.675932999602898,1
SAN MARTIN,RIOJA,21,131248,1.600024381323906e-4,-8.73999647170551,61,0.21816496789680712,-9.167599808783251,-8.312393134627769,1
SAN MARTIN,RIOJA,16,131248,1.2190661952944045e-4,-9.01182863609684,62,0.2499314406552999,-9.501694259781228,-8.521963012412453,1
SAN MARTIN,RIOJA,11,131248,8.38108009264903e-5,-9.38632824390315,63,0.30140518727547294,-9.977082410963078,-8.795574076843224,1
SAN MARTIN,RIOJA,9,131248,6.857247348531025e-5,-9.586861119281396,64,0.3331955497397169,-10.239924396771242,-8.93379784179155,1
SAN MARTIN,RIOJA,8,131248,6.0953309764720226e-5,-9.704549414647115,65,0.35339185482685614,-10.397197450107752,-9.011901379186478,1
SAN MARTIN,RIOJA,7,131248,5.3334146044130194e-5,-9.837959011513826,66,0.37777021721938786,-10.578388637263826,-9.097529385763826,1
SAN MARTIN,RIOJA,7,131248,5.3334146044130194e-5,-9.837959011513826,67,0.37777021721938786,-10.578388637263826,-9.097529385763826,1
SAN MARTIN,RIOJA,5,131248,3.809581860295014e-5,-10.174041601365973,68,0.44690007969303824,-11.049965757564328,-9.298117445167618,1
SAN MARTIN,RIOJA,4,131248,3.0476654882360113e-5,-10.396844336256404,69,0.49956624475209116,-11.375994175970503,-9.417694496542305,1
SAN MARTIN,RIOJA,4,131248,3.0476654882360113e-5,-10.396844336256404,70,0.49956624475209116,-11.375994175970503,-9.417694496542305,1
SAN MARTIN,RIOJA,3,131248,2.2857491161770084e-5,-10.683958639332296,71,0.5766878732923632,-11.814266870985328,-9.553650407679264,1
