"prov_cdc","porc_fem","porc_65_plus"
"HUANCA SANCOS",0.488134964775677,0.0725806451612903
"HUANCABAMBA",0.493229848370035,0.0732814377674191
"HUANCANE",0.492400403728552,0.0477201211185656
"HUANCAVELICA",0.484176846647502,0.042084745658823
"HUANCAYO",0.473081952710155,0.0734130318465678
"HUANTA",0.493763847084058,0.0441164788023762
"HUANUCO",0.488569531695279,0.062789284797164
"HUARAL",0.503096143400326,0.089620265665893
"HUARAZ",0.489807441214873,0.0722007222424806
"HUARI",0.511671669180884,0.0909939192236513
"HUARMEY",0.508657249449954,0.0779630751570422
"HUAROCHIRI",0.531579493207038,0.0961039858955301
"HUAURA",0.499476021543245,0.101372651760482
"HUAYLAS",0.491261292564281,0.0806984016678249
"HUAYTARA",0.516011829319814,0.0874102239121251
"ICA",0.49086094683191,0.08601243303909
"ILO",0.493758743870801,0.0683617891148147
"ISLAY",0.505070810243037,0.102430366909341
"JAEN",0.504876615160844,0.0483078792950576
"JAUJA",0.477201814111561,0.110424181967917
"JORGE BASADRE",0.584064250237768,0.0658353587657191
"JULCAN",0.499312073867979,0.0723698290885743
"JUNIN",0.481937821857715,0.106389471676521
"LA CONVENCION",0.531086871411171,0.0586664781625196
"LA MAR",0.507027828019787,0.0433219290025932
"LA UNION",0.498262995367988,0.145265054040144
"LAMAS",0.509853071181585,0.058905811129886
"LAMBAYEQUE",0.492246770304444,0.081008671332327
"LAMPA",0.487217314982539,0.0737642159517451
"LAURICOCHA",0.507803060813532,0.0678866290777285
"LEONCIO PRADO",0.504829199219438,0.0510183234823775
"LIMA",0.486637144527865,0.0816147427515873
"LORETO",0.511189937856243,0.0423904360894112
"LUCANAS",0.521186500387515,0.0848023673641936
"LUYA",0.512531041069723,0.0879083094555874
"MANU",0.536353976927747,0.0228825136612022
"MARAÑON",0.506755119350539,0.0540106627892887
"MARISCAL CACERES",0.521321941601728,0.054154539479861
"MARISCAL LUZURIAGA",0.4805929473945,0.0843174498307044
"MARISCAL NIETO",0.511193633952255,0.0845977011494253
"MARISCAL RAMON CASTILLA",0.517293829773163,0.0419019906090867
"MAYNAS",0.495664140985802,0.0535551595760493
"MELGAR",0.488839453095708,0.062764016297148
"MOHO",0.484397431054023,0.0785417453721194
"MORROPON",0.50094545002177,0.0915158300677987
"MOYOBAMBA",0.507074231326723,0.0491155607434677
"NAZCA",0.508432117361975,0.0756270875630362
"OCROS",0.528224706844832,0.123443323334242
"OTUZCO",0.495222583021236,0.0890435829071179
"OXAPAMPA",0.509797783760095,0.0450969344101505
"OYON",0.528638730473593,0.094057360112406
"PACASMAYO",0.481882930223191,0.0768533606752476
"PACHITEA",0.494683510099304,0.0557454570019591
"PADRE ABAD",0.524624508476761,0.0456552568813253
"PAITA",0.493394043442562,0.0533104426364111
"PALLASCA",0.490840257948603,0.0910199236420803
"PALPA",0.50388265746333,0.106831908384971
"PARINACOCHAS",0.517339790711753,0.0755282654443772
"PARURO",0.501924927815207,0.102951555983317
"PASCO",0.503390511512904,0.0471766342141864
"PATAZ",0.519470181806604,0.0728924549728829
"PAUCAR DEL SARA SARA",0.521287733379864,0.0998080614203455
"PAUCARTAMBO",0.501302432484198,0.056464278873779
"PICOTA",0.519133496958702,0.0544232205741116
"PISCO",0.491956239674988,0.0672499485965074
"PIURA",0.493026156349975,0.0632082215811435
"POMABAMBA",0.477307615297337,0.0775211906827738
"PUERTO INCA",0.540140561627295,0.0364717173906313
"PUNO",0.491215431094585,0.0596831667828647
"PURUS",0.512174284493806,0.036736437419906
"PUTUMAYO",0.545950790288415,0.0345445657487372
"QUISPICANCHI",0.489719217742817,0.0735933573691686
"RECUAY",0.479028249733732,0.113506111477405
"REQUENA",0.508389349174092,0.0539315304048773
"RIOJA",0.501676647593104,0.0440887994018847
"RODRIGUEZ DE MENDOZA",0.522155916708989,0.0761808024377857
"SAN ANTONIO DE PUTINA",0.525862428275699,0.0608388790863748
"SAN IGNACIO",0.517892697267321,0.0423264515266921
"SAN MARCOS",0.491564905639775,0.0725217929352673
"SAN MARTIN",0.502412126069731,0.0572011221078583
"SAN MIGUEL",0.484226259319229,0.0914930339317806
"SAN PABLO",0.475140473352631,0.0791333219819513
"SAN ROMAN",0.486457804490591,0.093585103421169
"SANCHEZ CARRION",0.481476228648949,0.0636862551643337
"SANDIA",0.528136933987998,0.0647435897435897
"SANTA",0.492359013457527,0.0676744347235047
"SANTA CRUZ",0.502237234602562,0.0893577820670293
"SANTIAGO DE CHUCO",0.500053870188238,0.0888242446630035
"SATIPO",0.515044698787506,0.0294771338981731
"SECHURA",0.496545713223702,0.0518078929491534
"SIHUAS",0.485332390836359,0.0786877871670469
"SUCRE",0.497961793621613,0.0908000959155943
"SULLANA",0.489667995823232,0.0678205699700176
"TACNA",0.49175226395163,0.0610221113361603
"TAHUAMANU",0.556769281694803,0.0509102946044356
"TALARA",0.501695286810376,0.0615126050420168
"TAMBOPATA",0.519866818733674,0.0394117214230529
"TARATA",0.539476930668641,0.170614359733531
"TARMA",0.485449652105817,0.092999810975994
"TAYACAJA",0.496154957036609,0.0430175463932414
"TOCACHE",0.528789751953074,0.0399295052213483
"TRUJILLO",0.480453950934707,0.0750759651679191
"TUMBES",0.502622575642284,0.0582833311067095
"UCAYALI",0.512967884683364,0.0476558306385096
"URUBAMBA",0.502402352334905,0.0789062855237431
"UTCUBAMBA",0.5091843374097,0.0517192479020337
"VICTOR FAJARDO",0.490799557395189,0.100446703003975
"VILCAS HUAMAN",0.483403517463463,0.0950788539344398
"VIRU",0.498532770827745,0.0418139992359028
"YAROWILCA",0.470638198166535,0.0733093166974197
"YAULI",0.540693788175637,0.0493027544082056
"YAUYOS",0.524512496566877,0.157477341389728
"YUNGAY",0.48979353200588,0.0732493652278498
"YUNGUYO",0.492898015502618,0.0339474858974879
"ZARUMILLA",0.500858799112574,0.0398625921419881
