"prov_cdc","pop","HDI","life_exp","perc_secondary","education_years","household_per_capita_income"
"AYMARAES",28928.6980728051,0.355128189993284,66.2103227572815,59.4766181280802,6.09167696126474,414.118631762125
"COTABAMBAS",51252.8886509636,0.372053682028399,71.9607873428565,71.6916796501351,5.66581194109178,402.146217119579
"CHINCHEROS",52468.4246433895,0.344303514850603,70.3843664811499,63.3283833983428,5.58027763282111,358.943588059456
"GRAU",23197.7344753747,0.304488319025415,64.3011270570907,61.7900404774381,6.01827022178805,282.966386079871
"AREQUIPA",1061359.14132762,0.66933497919903,78.3036245961391,79.3653044880218,11.0774207208015,1190.46607851021
"CAMANA",61170.4111349036,0.624133348573477,82.2909228426172,71.5367158166053,9.28470374601418,1057.13176845951
"CARAVELI",44125.7644539615,0.616486844457873,83.0511146432875,56.6378180730309,8.97038539381292,1151.21721663655
"CASTILLA",35289.6445396146,0.566243808886177,76.320191252826,55.8990242359979,8.34473829681924,1065.82804077027
"CAYLLOMA",102115.423982869,0.588818268722751,78.944104632065,66.472258861566,8.37719011866829,1043.7226408001
"CONDESUYOS",15660.0578158458,0.581571123130452,79.3288319519535,55.7743903391756,8.10252689300621,1111.25631172046
"ISLAY",50989.7944325482,0.630938131124971,76.6858529078268,75.9134558470673,9.6457256750217,1144.74971788551
"LA UNION",12448.2141327623,0.357948486236479,83.434103489107,36.844029074813,6.01140119630745,386.164564108895
"HUAMANGA",311497.094218415,0.489395999823841,70.7192899658581,69.2593391098192,8.75770512103939,685.911484171063
"CANGALLO",31087.2376873662,0.329311567938455,79.140510475918,56.2742308251032,5.03522721112767,307.460646553363
"HUANCA SANCOS",9021.63169164882,0.382788203623698,73.2167424598838,45.7645541686211,5.91424273496156,507.476860495097
"HUANTA",107061.549018197,0.389530096039708,74.7355394430232,59.494835291961,6.008926169374,453.546081334879
"LA MAR",84625.6727385217,0.332574685607884,77.4837403395886,51.8591762320334,4.98146905289913,339.108442632843
