"prov_cdc","densidad_2020","altitud","ide","pob_ocup","pob2017","ocup_perc"
"SANTA CRUZ",30.6615982453295,2036,0.68359305737177,13892.856294073,39322,0.353310012056177
"ASCOPE",48.8306051214154,242,0.789060181916749,45332.693679157,119672,0.378807855464578
"BOLIVAR",10.33359319549,3157,0.704577066313888,4598.049212342,15811,0.290813307971792
"CHEPEN",80.8776030041228,160,0.759130859057815,32005.039324676,82571,0.38760629427615
"GRAN CHIMU",24.2269044264732,1278,0.650975960684004,10008.679785323,28162,0.355396626138875
"JULCAN",33.8290705381382,3420,0.620660186931297,8974.11911572401,30798,0.291386424953699
"OTUZCO",48.3723949080194,2701,0.680308480707843,27714.643676081,84252,0.328949386080817
"PACASMAYO",97.9880205463626,49,0.759243526772734,40138.611784908,106819,0.375762849164549
"PATAZ",20.0940251222634,3222,0.707513228137543,26232.174329791,82036,0.319764180722987
"SANCHEZ CARRION",71.7279740023649,3183,0.658947716046773,43619.9498328979,158372,0.275427157786085
"SANTIAGO DE CHUCO",22.7528808255859,3126,0.675307281871215,14685.744469171,55307,0.265531387874428
"TRUJILLO",623.977723570794,74,0.812191223405999,444657.536087478,1028481,0.432343948101596
"VIRU",33.4781959471651,88,0.704026306078089,39292.9871398242,96691,0.406376882438119
"CHICLAYO",283.282898478439,28,0.809161385509937,340213.581179137,825246,0.412257170806204
"FERREÑAFE",74.009248701381,38,0.678807079053658,33847.885966259,103009,0.328591540217447
"LAMBAYEQUE",35.9425108261203,24,0.683804490629717,105159.098329111,316566,0.332186963631947
"ALTO AMAZONAS",8.1682062018088,150,0.588452823860314,46357.0944788951,137115,0.338089154934873
"DATEM DEL MARAÑON",1.71107222776218,134,0.409549370064305,20414.0958367908,56698,0.360049663776338
"LORETO",1.28399901838676,127,0.500143100531427,17629.000217086,68681,0.256679434153347
"MARISCAL RAMON CASTILLA",2.20561215652481,86,0.502192427367203,18039.571090757,57366,0.31446451017601
"MAYNAS",7.82217357966973,107,0.690351686315908,195808.724583037,527866,0.370943998255309
"PUTUMAYO",0.243206264078847,131,0.417886913686234,3078.387685911,9093,0.338544780150775
"REQUENA",1.59601984361658,116,0.539245648607371,17628.097446495,63714,0.276675415866136
"UCAYALI",2.58535434689028,138,0.579013201452882,18674.6512663749,61364,0.304325846854424
"AYABACA",29.1696272448524,2735,0.592089066663871,33203.442786056,127735,0.259940053908921
"HUANCABAMBA",31.8203760638896,1955,0.617393971317849,35570.998568039,117747,0.302096856548693
"MORROPON",49.5462861903331,135,0.698591643583196,54392.5873578621,167461,0.324807491642007
"PAITA",80.5352502329565,71,0.695727144010335,46309.391146393,136708,0.338746753272618
"PIURA",141.538377992328,57,0.722399922078338,321256.499415377,828343,0.38783028216014
"SECHURA",13.8905041600053,12,0.692684437211181,26713.129764907,81612,0.327318651238874
"SULLANA",64.3521715794121,76,0.725989823622227,120018.968249177,324116,0.370296339116788
"TALARA",55.4411696416133,23,0.750070425292864,57609.412936673,146248,0.39391590269045
"BELLAVISTA",8.0670484045262,330,0.619602692091194,22507.061777694,58370,0.385592972035189
"EL DORADO",34.4130833346172,342,0.659642506972859,15892.790935906,40917,0.388415351465308
"HUALLAGA",13.7795325198984,317,0.659810757073883,10747.630639618,28871,0.372263885546673
"LAMAS",19.2157858078835,764,0.658149634247103,33754.946884664,86748,0.389114986912252
"MARISCAL CACERES",5.18238493992232,299,0.673993024796187,26176.14863599,67993,0.38498299289618
"MOYOBAMBA",39.2149637755115,895,0.714844407257999,51831.585108442,129909,0.39898378948681
"PICOTA",22.3895993847316,228,0.666073429860073,15604.390116503,42712,0.365339719903142
"RIOJA",59.9513222671043,850,0.711262296305389,45253.59813937,125913,0.359403700486606
"SAN MARTIN",38.2001691909628,342,0.770445423887427,90277.497659501,205362,0.439601764978433
"TOCACHE",14.632832319485,519,0.674340683901571,31416.410167788,75664,0.41520948096569
"CONTRALMIRANTE VILLAR",10.4732434698241,11,0.706159254973205,8849.663556621,21906,0.40398354590619
"TUMBES",95.7436880259978,9,0.760804842904098,65928.9266943979,161369,0.408560049912919
"ZARUMILLA",71.808946089944,15,0.70080843792964,20294.515943979,51423,0.394658342453357
"AIJA",11.5139510850844,3421,0.686007284149375,2589.492575186,6639,0.390042562913993
"ANTONIO RAIMONDI",28.5482808354552,3400,0.748010806900013,3234.38177646,14360,0.225235499753482
"ASUNCION",15.7000718798472,3387,0.754790116977737,2036.695240027,7873,0.258693666966468
"BOLOGNESI",8.05724610117915,3410,0.725946079482943,9429.130423148,24940,0.378072591144667
"CARHUAZ",66.26780272405,2663,0.712622126253204,15306.363315236,48072,0.318404961624979
"CARLOS FERMIN FITZCARRALD",32.6295554665599,3145,0.689181982725371,3879.301677511,18816,0.206170369765678
"CASMA",23.7621791838233,59,0.668583909018809,21525.976642295,53115,0.405271140775581
"CORONGO",7.92400886630702,3172,0.734964707795205,2333.919761682,7974,0.292691216664409
"HUARAZ",73.2268714073111,3073,0.785150049495268,68239.484196458,174534,0.390981036339384
"HUARI",28.7265052851834,3114,0.727483931032877,18417.858855822,62278,0.295736196663701
"HUARMEY",8.50106067903955,30,0.697011973018572,13526.751804824,31489,0.429570701032869
